area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
3420,5,1,2,no,no,no,no,no,0,no,unfurnished
1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
2990,2,1,1,no,no,no,no,no,1,no,unfurnished
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
2910,3,1,1,no,no,no,no,no,0,no,furnished
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
